,Source,Unit,Bedroom,Bathroom,Gross Price,Net price,Sqft,Floor,Image source,Address,Borough,City,State,Building Name,Neighborhood,Status,Amenity,Description,Availability,Floor_plan,Date_present,Created At,Updated At,Closing Date
0,https://www.compass.com/listing/355-west-side-avenue-unit-store-jersey-city-nj-07305/911575303787416009/,STORE,0,0,3000,,1550,,,"355 Side Ave, Jersey City, NJ 07305",Jersey City,Jersey City,NJ,355 Side Ave,Hackensack River Waterfront,Other,,"Excellent Location on West Side Ave! Ground floor, commercial space with glass storefront, 1,550 total Square Ft. for lease. Great office space, medical, urgent care, salon, pharmacy. Renovated with Central AC and sprinklers. Shared backyard access. Located at the West Side Avenue Light Rail Station, near The Board of Education and NJCU WEST CAMPUS. High traffic area will benefit from the planned West Side community and Extensive Redevelopment. PARKING available at Light Rail on the corner, NJ Transit Park and Ride charges nominal daily/monthly and free parking on weekends. Just under 1 mile to the Bayfront redevelopment and 440. West Side is booming! Get in now, do not miss your chance!",11/09/2021,355 Side Ave_STORE,1,25-03-2022,25-03-2022,
1,https://www.compass.com/listing/306-washington-street-unit-203-hoboken-nj-07030/629911324748923641/,203,0,0,900,,150,,,"306 Washington St, Hoboken, NJ 07030",Hoboken,Jersey City,NJ,306 Washington St,Washington Street,Other,Fully Furnished; Kitchenette; Refrigerator; Skylight; Stainless Steel Appliances; Walk Up; ,"Make Hoboken Office Suites your next office. Choosing us gives you a richly-appointed furnished office, a feature-rich phone system, a state-of-the-art conference room with tele-conferencing capabilities, a coffee bar, and every other amenity you would expect from a well-equipped facility, all just a train ride from Manhattan, in the heart of Hoboken—at an economical price! Excellent location next to Starbucks and Panera in downtown Hoboken's business district. Three blocks from the PATH, Ferry Terminal, Taxis, NJ Transit Trains and Buses which makes it an ideal spot for commuters.",10/16/2020,306 Washington St_203,1,25-03-2022,25-03-2022,
2,https://www.compass.com/listing/115-grand-street-unit-commercial-2-hoboken-nj-07030/636477671439943913/,COMMERCIAL 2,0,0,4725,,1350,,https://www.compass.com/m3/13dcef2ce854a6e5be7ce9be85bf4c584a3247c6.jpg,"115 Grand St, Hoboken, NJ 07030",Hoboken,Jersey City,NJ,115 Grand St,Southwest Hoboken,Other,Assigned Parking; Central AC; Central Heating; Forced Air; Garage; On-site Parking; ,"115 Grand, New Construction - Street level Retail/Office commercial space 1,350 sq ft of open space in boutique new construction building. Ideal for medical, physical therapy, fitness, coffee shop/cafe (no open flame). Excellent professional or retail opportunity. Concrete constriction & storefront windows provide a quieter, more peaceful work/retail experience. HVAC, ADA bathroom, white box delivery upon completion. Located in downtown Hoboken, Grand Residences Condominiums and include indoor heated parking. Close proximity to the path and ferry to NYC, buses, trains and light-rail making for an easy commute plus shopping and restaurants.",10/25/2020,115 Grand St_COMMERCIAL 2,1,25-03-2022,25-03-2022,
3,https://www.compass.com/listing/95-river-street-ste-210-hoboken-nj-07030/947394011217713553/,210,0,0,2000,,665,,,"95 River St, Hoboken, NJ 07030",Hoboken,Jersey City,NJ,95 River St,The Waterfront,Other,,"Outstanding Fully built-out office in Elevator building one block to Path Train. Approx. 665 sq. ft. features lots of open space, high ceilings and lots of natural light with view of Pier A Park and NYC.  Easy access to all transportation.  \nClose to PATH, NJ Transit Terminal and bus stop at the front door.",12/28/2021,95 River St_210,1,25-03-2022,25-03-2022,
4,https://www.compass.com/listing/305-west-side-avenue-unit-retail-1-jersey-city-nj-07305/875623632049609241/,RETAIL 1,0,0,2000,,618,,https://www.compass.com/m2/0/1cd33bd3-ef3f-407d-9fa9-dcdcedbcfc4e/origin.jpg,"305 Side Ave, Jersey City, NJ 07305",Jersey City,Jersey City,NJ,305 Side Ave,Hackensack River Waterfront,Mixed Use,,"NEW CONSTRUCTION in \""MIRACLE\"" commercial ground floor spaces available.  Three spaces available 680 S.F. Corner plus 919 S.F. and 961 which may be combined to a 1,880 SF Suite.  Boasts high ceilings, bathrooms, central air, and high visibility with wraparound glass storefronts offering three separate entrances.  Minutes from West Side Avenue light rail station, half mile to NJCU WEST CAMPUS and West Side Redevelopment Zones, and under 1 mile to the Bayfront redevelopment. West Side is booming! Join the Momentum, do not miss your chance - call today for a private viewing.",09/20/2021,305 Side Ave_RETAIL 1,1,25-03-2022,25-03-2022,
5,https://www.compass.com/listing/305-west-side-avenue-jersey-city-nj-07305/875626773139122873/,,0,0,2400,,919,,https://www.compass.com/m2/0/70c67bf8-7015-45bb-b8c2-9c3a3fec5697/origin.jpg,"305 Side Ave, Jersey City, NJ 07305",Jersey City,Jersey City,NJ,305 Side Ave,Hackensack River Waterfront,Other,,"NEW CONSTRUCTION in \""MIRACLE\"" commercial ground floor spaces available. Three spaces available 919 S.F. and 961 which may be combined to a 1,880 SF Suite and 680 S.F. Corner.  Boasts high ceilings, bathrooms, central air, and high visibility with wraparound glass storefronts offering three separate entrances. Minutes from West Side Avenue light rail station, half mile to NJCU WEST CAMPUS and West Side Redevelopment Zones, and under 1 mile to the Bayfront redevelopment. West Side is booming! Join the Momentum, do not miss your chance - call today for a private viewing.",09/20/2021,305 Side Ave_,1,25-03-2022,25-03-2022,
6,https://www.compass.com/listing/6-perrine-avenue-jersey-city-nj-07306/1003139808704774945/,,2,1,1600,,800,,,"6 Perrine Ave, Jersey City, NJ 07306",Jersey City,Jersey City,NJ,6 Perrine Ave,Journal Square,Rental,Air Conditioning; Parking Included; Private Outdoor Space; ,"Gorgeous 2BD duplex with Private Entrance and shared Garden on a quiet residential street, parking available for an additional fee, steps to Path Train and Journal Square transportation center to get into Manhattan, NYC, Hoboken and Newark Airport in minutes.  Steps to Courthouse and Universities, tasty restaurants, neighborhood retail as well as Artisan and Farmer’s Market and Mana Contemporary Museum. Spacious unit with Central A/C and Heating, updated kitchen and appliances, gleaming hardwood floors. Pets OK with Owner Approval",04/15/2022,6 Perrine Ave_,1,25-03-2022,25-03-2022,
7,https://www.compass.com/listing/99-hudson-street-unit-5408-jersey-city-nj-07302/1009386286455352873/,5408,2,2,6500,,1273,54,,"99 Hudson St, Jersey City, NJ 07302",Jersey City,Jersey City,NJ,99 Hudson St,Colgate Center,Rental,Air Conditioning; Doorman; Elevator; Garage; Gym; Parking Included; Pool; Private Outdoor Space; Washer / Dryer in Unit; ,"Enjoy the exhilarating panoramic NYC and river view from this newly constructed 1273 square foot 2 bed 2 full bath home with garage parking. This sun drenched unit with east facing and south facing floor to ceiling windows is located on the 54th floor of the luxurious 99 Hudson doorman building. Enjoy the breathtaking NYC skyline and Hudson River views from the comfort of your living room, office or bedroom while also having easy access to amazing amenities such as a 80x50 swimming pool with outdoor cabanas, fitness center, simulated golf room, screening room, outdoor dog run, landscaped lawn, business center, alfresco dining spaces, game room, grilling stations, club room with library and a porte cochere covered drive up entrance. Ensuite primary bedroom with 2 walk-in closets and elegant bath with rain shower. The bright ultra sleek kitchen has a ample cabinetry, breakfast bar and brand new integrated Bosch appliances. In-unit washer/dryer and recessed lighting throughout. Primely located just a short stroll to the path train, waterfront promenade, ferry to NYC, restaurants, shops, farmer's market, grocery store, and lightrail. Located near the soon to open Whole Foods supermarket. Rent includes one garage parking space, water, gas and use of amenities. This home has it all! Available ASAP",,99 Hudson St_5408,0,25-03-2022,25-03-2022,
8,https://www.compass.com/listing/52-pamrapo-avenue-unit-2-jersey-city-nj-07305/1000049466597449073/,2,3,2,2650,,1450,,,"52 Pamrapo Ave, Jersey City, NJ 07305",Jersey City,Jersey City,NJ,52 Pamrapo Ave,Greenville,Rental,Air Conditioning; Parking Included; Private Outdoor Space; Washer / Dryer in Unit; ,"Located on one of Greenville's most desired streets. Just a 3min walk to the NJ Transit bus or a 2min drive to the Danforth Avenue Light Rail Station for all NYC commuters. This quiet street borders the City of Bayonne where you will find everything you need. Live in a newly constructed building (2016) in a sun-soaked unit with ample cabinet and closet space. Customized fixtures united with hardwood flooring throughout. This oversized open living and dining area allows entertaining to become your new or improved hobby. Both secondary bedrooms are more than adequate in size while the main bedroom is en suite. Expect to find a washer/dryer room in unit, a Nest Security System, your very own private patio and not to mention it includes a parking spot and a manicured shared backyard! Available 5/1. 1.5 month security deposit. 1 month broker fee. Landlord will consider pets!",05/01/2022,52 Pamrapo Ave_2,1,25-03-2022,25-03-2022,
9,https://www.compass.com/listing/75-coles-street-unit-3-jersey-city-nj-07302/1009394970418411545/,3,2,2,3150,,847,,,"75 Coles St, Jersey City, NJ 07302",Jersey City,Jersey City,NJ,75 Coles St,The Village,Rental,Air Conditioning; Garage; Parking Included; Washer / Dryer in Unit; ,"Introducing 75 Coles Street – a four unit boutique condo building that underwent a full renovation. Each unit consists of two bedrooms and two bathrooms. Throughout the condos you will find hardwood floors, central air, in-unit laundry, ample windows, and tasteful finishes. The kitchen is open to the living room and features quartz countertops, stainless steel appliances, gorgeous modern cabinetry, and a tile backsplash. Ideally located in downtown Jersey City near the Grove St PATH Station with so many local attractions: Hamilton Park, Van Vorst Park, Newport Mall, in addition to all of Jersey City’s popular restaurants and shops.",04/01/2022,75 Coles St_3,1,25-03-2022,25-03-2022,
